Country,Year,Age_Group,Sex,Deaths,Rate_per_100k,Region,Income_Level,Treatment_Access,Urban_Rural,Hospitalized,Notes
Japan,2013,15-24,Male,823,42.73,North,Low,Poor,Rural,No,Syphilis
USA,2001,35-44,Female,511,1.21,Central,High,Moderate,Rural,Yes,Syphilis
UK,2001,25-34,Male,366,30.51,East,Low,Good,Urban,Yes,Syphilis
Germany,2003,25-34,Male,372,18.45,West,Lower-Middle,Moderate,Rural,No,Syphilis
Japan,2019,55-64,Female,915,20.84,West,Low,Moderate,Urban,No,Syphilis
India,2022,25-34,Female,830,41.62,Central,Upper-Middle,Moderate,Urban,No,Syphilis
France,2015,15-24,Female,599,15.56,North,Lower-Middle,Moderate,Urban,No,Syphilis
Japan,2009,45-54,Male,219,47.16,South,Upper-Middle,Moderate,Rural,No,Syphilis
Germany,2012,35-44,Female,475,9.06,West,Upper-Middle,Good,Urban,No,Syphilis
Germany,2001,65+,Female,423,33.17,South,Upper-Middle,Moderate,Urban,No,Syphilis
USA,2002,0-14,Male,356,33.64,West,Low,Good,Rural,Yes,Syphilis
South Africa,2018,25-34,Male,460,12.68,North,Low,Poor,Urban,No,Syphilis
Australia,2005,25-34,Male,503,16.31,North,Low,Moderate,Urban,Yes,Syphilis
India,2018,0-14,Male,27,41.76,West,Low,Moderate,Urban,Yes,Syphilis
Japan,2020,65+,Female,942,38.11,Central,Lower-Middle,Poor,Rural,No,Syphilis
Australia,2019,65+,Male,802,16.52,North,Low,Good,Urban,No,Syphilis
India,2018,0-14,Female,801,26.74,North,Lower-Middle,Moderate,Urban,No,Syphilis
South Africa,2007,65+,Male,860,3.18,East,Upper-Middle,Poor,Urban,No,Syphilis
Japan,2013,15-24,Male,223,10.52,North,Lower-Middle,Poor,Rural,No,Syphilis
India,2009,65+,Female,864,24.34,East,High,Moderate,Rural,Yes,Syphilis
Australia,2002,35-44,Female,690,4.39,North,Low,Good,Rural,Yes,Syphilis
UK,2005,65+,Female,148,42.18,North,High,Good,Urban,No,Syphilis
Germany,2014,25-34,Male,424,35.93,Central,Lower-Middle,Moderate,Urban,No,Syphilis
Canada,2022,45-54,Male,739,47.19,Central,Low,Poor,Urban,No,Syphilis
Brazil,2022,15-24,Female,351,34.7,North,High,Moderate,Urban,No,Syphilis
France,2017,15-24,Female,186,47.03,West,Low,Good,Urban,Yes,Syphilis
Canada,2013,65+,Male,415,27.77,West,Lower-Middle,Poor,Rural,Yes,Syphilis
Japan,2018,45-54,Female,806,30.05,North,High,Moderate,Urban,Yes,Syphilis
Japan,2009,45-54,Female,982,48.85,West,Lower-Middle,Poor,Urban,No,Syphilis
India,2014,55-64,Male,429,32.14,North,High,Good,Rural,No,Syphilis
Germany,2003,45-54,Female,41,1.64,Central,Upper-Middle,Good,Rural,No,Syphilis
South Africa,2022,65+,Male,905,36.22,South,Upper-Middle,Good,Urban,Yes,Syphilis
USA,2001,65+,Male,393,45.28,East,Upper-Middle,Moderate,Rural,Yes,Syphilis
India,2002,0-14,Male,703,39.8,West,Upper-Middle,Poor,Rural,Yes,Syphilis
USA,2006,25-34,Female,79,29.23,West,Upper-Middle,Moderate,Rural,No,Syphilis
Brazil,2022,55-64,Female,717,33.6,Central,Lower-Middle,Moderate,Urban,Yes,Syphilis
Australia,2015,65+,Female,896,49.51,West,Upper-Middle,Moderate,Rural,No,Syphilis
India,2009,0-14,Female,790,4.62,North,Lower-Middle,Moderate,Urban,Yes,Syphilis
Brazil,2018,55-64,Male,784,33.4,North,Upper-Middle,Poor,Rural,No,Syphilis
France,2016,25-34,Male,544,14.24,South,Low,Poor,Urban,No,Syphilis
India,2018,55-64,Female,450,32.04,South,Upper-Middle,Moderate,Urban,No,Syphilis
Germany,2004,0-14,Female,474,30.42,South,Low,Moderate,Urban,No,Syphilis
Germany,2022,35-44,Female,142,7.76,North,Lower-Middle,Good,Rural,Yes,Syphilis
Japan,2019,65+,Female,251,10.42,South,Upper-Middle,Good,Rural,Yes,Syphilis
France,2012,25-34,Male,294,31.12,South,High,Poor,Rural,Yes,Syphilis
Japan,2012,15-24,Female,610,6.5,North,Lower-Middle,Good,Urban,No,Syphilis
USA,2010,25-34,Male,136,13.33,Central,Upper-Middle,Poor,Rural,Yes,Syphilis
Canada,2010,25-34,Female,484,41.78,West,Lower-Middle,Poor,Rural,No,Syphilis
South Africa,2015,25-34,Female,789,16.42,East,High,Poor,Urban,Yes,Syphilis
France,2014,35-44,Female,312,24.45,North,Upper-Middle,Good,Rural,Yes,Syphilis
Australia,2016,65+,Male,814,47.06,North,High,Good,Urban,No,Syphilis
South Africa,2021,0-14,Female,555,11.43,East,Upper-Middle,Poor,Rural,No,Syphilis
South Africa,2017,65+,Male,632,19.54,East,Low,Poor,Urban,No,Syphilis
UK,2018,15-24,Male,732,30.36,South,Lower-Middle,Moderate,Urban,Yes,Syphilis
India,2003,0-14,Female,46,37.79,East,High,Poor,Rural,No,Syphilis
Australia,2021,55-64,Male,236,45.09,West,Lower-Middle,Poor,Urban,Yes,Syphilis
France,2021,55-64,Male,48,45.78,West,High,Moderate,Rural,Yes,Syphilis
Japan,2022,55-64,Male,198,38.85,West,Lower-Middle,Poor,Rural,Yes,Syphilis
USA,2004,0-14,Female,84,11.49,West,Lower-Middle,Poor,Rural,No,Syphilis
India,2006,45-54,Male,543,1.34,West,Lower-Middle,Poor,Rural,Yes,Syphilis
UK,2001,35-44,Male,161,19.25,South,Low,Moderate,Urban,No,Syphilis
USA,2000,45-54,Female,428,7.16,North,Upper-Middle,Good,Urban,No,Syphilis
France,2011,65+,Female,71,35.55,East,Low,Poor,Urban,Yes,Syphilis
Canada,2009,55-64,Male,520,33.09,North,Lower-Middle,Moderate,Rural,Yes,Syphilis
South Africa,2007,35-44,Male,969,2.29,East,High,Poor,Rural,Yes,Syphilis
UK,2000,0-14,Male,898,41.85,South,Lower-Middle,Moderate,Urban,Yes,Syphilis
USA,2011,55-64,Male,913,12.51,South,Upper-Middle,Poor,Urban,No,Syphilis
Japan,2001,0-14,Female,52,21.67,Central,Low,Moderate,Rural,No,Syphilis
UK,2009,35-44,Female,45,33.43,Central,Upper-Middle,Good,Rural,No,Syphilis
USA,2021,0-14,Male,293,21.53,South,High,Good,Rural,No,Syphilis
UK,2016,0-14,Female,938,22.12,South,Upper-Middle,Good,Urban,No,Syphilis
Japan,2002,15-24,Male,812,3.37,East,Low,Poor,Rural,No,Syphilis
Japan,2006,65+,Female,465,20.13,South,High,Moderate,Urban,No,Syphilis
Australia,2011,45-54,Female,885,38.27,North,Upper-Middle,Poor,Rural,No,Syphilis
Germany,2007,45-54,Male,550,45.77,East,Low,Poor,Urban,No,Syphilis
South Africa,2019,45-54,Male,867,20.73,South,Low,Moderate,Rural,Yes,Syphilis
India,2011,25-34,Male,380,21.24,East,Lower-Middle,Poor,Urban,Yes,Syphilis
India,2002,15-24,Male,743,35.16,East,Upper-Middle,Moderate,Urban,No,Syphilis
France,2016,55-64,Female,478,47.14,West,High,Moderate,Urban,No,Syphilis
Brazil,2008,55-64,Female,262,13.43,Central,Lower-Middle,Good,Rural,Yes,Syphilis
France,2009,55-64,Male,580,22.06,East,Upper-Middle,Good,Urban,Yes,Syphilis
Brazil,2021,45-54,Female,179,39.82,East,Upper-Middle,Good,Urban,Yes,Syphilis
UK,2005,65+,Female,357,30.52,West,High,Moderate,Rural,No,Syphilis
Brazil,2000,45-54,Male,419,5.62,South,Lower-Middle,Good,Urban,Yes,Syphilis
Germany,2021,65+,Male,698,31.42,East,Lower-Middle,Moderate,Urban,Yes,Syphilis
Germany,2011,15-24,Female,953,9.42,West,High,Poor,Rural,Yes,Syphilis
South Africa,2004,65+,Male,201,25.56,North,Lower-Middle,Good,Urban,Yes,Syphilis
USA,2012,0-14,Male,902,26.5,West,Low,Moderate,Rural,Yes,Syphilis
India,2014,45-54,Female,13,43.82,Central,High,Moderate,Urban,No,Syphilis
South Africa,2021,55-64,Female,443,23.18,Central,Upper-Middle,Moderate,Rural,Yes,Syphilis
Germany,2010,0-14,Male,726,14.04,South,High,Moderate,Urban,No,Syphilis
USA,2007,45-54,Female,732,11.63,South,Low,Good,Urban,Yes,Syphilis
France,2004,35-44,Male,286,43.73,Central,High,Good,Urban,Yes,Syphilis
India,2001,25-34,Male,756,8.63,Central,Upper-Middle,Good,Rural,Yes,Syphilis
Australia,2011,45-54,Female,868,21.35,East,Upper-Middle,Moderate,Urban,Yes,Syphilis
India,2001,35-44,Female,258,9.44,Central,High,Poor,Urban,Yes,Syphilis
UK,2015,15-24,Male,570,38.69,South,High,Moderate,Rural,No,Syphilis
Canada,2020,35-44,Male,548,23.77,Central,Low,Poor,Rural,No,Syphilis
India,2002,15-24,Male,840,17.62,South,Low,Good,Rural,No,Syphilis
Germany,2009,45-54,Female,941,18.12,North,Upper-Middle,Moderate,Urban,No,Syphilis
UK,2018,15-24,Male,490,42.63,Central,Lower-Middle,Moderate,Urban,No,Syphilis
Japan,2007,35-44,Female,498,27.73,South,Lower-Middle,Good,Urban,No,Syphilis
Brazil,2006,65+,Male,905,35.92,West,Lower-Middle,Moderate,Rural,No,Syphilis
France,2000,25-34,Female,894,44.86,East,Lower-Middle,Poor,Rural,Yes,Syphilis
Australia,2011,0-14,Male,705,45.1,South,Upper-Middle,Poor,Urban,No,Syphilis
France,2004,0-14,Female,333,16.49,Central,Lower-Middle,Poor,Urban,Yes,Syphilis
Japan,2015,25-34,Male,562,47.63,Central,Lower-Middle,Moderate,Rural,Yes,Syphilis
Canada,2003,55-64,Male,975,1.34,North,High,Moderate,Rural,No,Syphilis
India,2016,0-14,Male,32,18.9,West,Lower-Middle,Poor,Rural,Yes,Syphilis
South Africa,2023,45-54,Male,610,44.8,South,High,Moderate,Urban,Yes,Syphilis
UK,2020,55-64,Female,43,13.8,West,Upper-Middle,Poor,Rural,No,Syphilis
Australia,2001,45-54,Female,893,13.73,North,High,Good,Rural,Yes,Syphilis
Japan,2011,35-44,Female,351,15.2,East,Low,Poor,Rural,No,Syphilis
Canada,2000,35-44,Female,334,30.65,West,High,Good,Rural,Yes,Syphilis
France,2011,55-64,Female,822,21.97,North,Lower-Middle,Good,Urban,No,Syphilis
Japan,2011,55-64,Male,559,36.36,South,High,Good,Rural,Yes,Syphilis
Australia,2011,55-64,Female,270,44.76,East,High,Poor,Urban,No,Syphilis
Australia,2018,55-64,Female,944,33.74,Central,Upper-Middle,Poor,Urban,Yes,Syphilis
Canada,2016,15-24,Female,823,10.3,North,Upper-Middle,Moderate,Rural,No,Syphilis
France,2019,65+,Female,413,46.64,Central,Lower-Middle,Moderate,Rural,Yes,Syphilis
Germany,2023,55-64,Male,943,13.3,East,Low,Good,Urban,Yes,Syphilis
Australia,2023,65+,Male,575,7.58,North,Low,Poor,Rural,No,Syphilis
UK,2010,55-64,Male,19,4.59,North,High,Moderate,Urban,Yes,Syphilis
UK,2012,35-44,Male,347,28.21,East,Low,Moderate,Rural,No,Syphilis
Brazil,2007,45-54,Female,905,5.78,South,Upper-Middle,Moderate,Urban,Yes,Syphilis
France,2009,65+,Female,613,7.02,North,Lower-Middle,Poor,Urban,Yes,Syphilis
Japan,2007,35-44,Male,37,15.07,East,Lower-Middle,Moderate,Urban,No,Syphilis
UK,2019,0-14,Male,619,14.15,West,Upper-Middle,Good,Rural,Yes,Syphilis
Canada,2007,15-24,Female,92,30.25,Central,Lower-Middle,Poor,Urban,No,Syphilis
Japan,2008,15-24,Female,820,40.86,North,High,Moderate,Urban,Yes,Syphilis
France,2006,45-54,Male,185,38.09,West,Lower-Middle,Moderate,Rural,Yes,Syphilis
Canada,2013,55-64,Male,728,13.2,North,Low,Poor,Rural,Yes,Syphilis
India,2001,35-44,Male,28,12.34,South,Lower-Middle,Moderate,Urban,Yes,Syphilis
USA,2010,0-14,Male,548,48.29,East,Lower-Middle,Moderate,Urban,No,Syphilis
UK,2007,35-44,Female,372,0.51,North,Upper-Middle,Good,Rural,No,Syphilis
UK,2012,55-64,Female,832,44.0,East,Upper-Middle,Poor,Urban,Yes,Syphilis
Brazil,2020,55-64,Female,530,10.07,North,Low,Moderate,Rural,Yes,Syphilis
Germany,2014,25-34,Male,345,47.37,South,Upper-Middle,Poor,Rural,No,Syphilis
Brazil,2002,35-44,Female,419,17.18,South,Low,Poor,Rural,Yes,Syphilis
France,2022,45-54,Female,196,22.07,West,High,Good,Urban,No,Syphilis
Brazil,2013,35-44,Male,78,35.39,South,Low,Good,Rural,Yes,Syphilis
Germany,2014,15-24,Male,167,29.42,East,Lower-Middle,Poor,Urban,Yes,Syphilis
Germany,2001,0-14,Male,90,15.97,South,Low,Good,Urban,No,Syphilis
Australia,2018,65+,Male,264,27.74,North,High,Good,Rural,Yes,Syphilis
Australia,2011,45-54,Male,472,36.56,South,Lower-Middle,Moderate,Rural,No,Syphilis
USA,2019,25-34,Male,208,2.21,East,Low,Good,Rural,No,Syphilis
Canada,2003,0-14,Female,724,0.66,North,Upper-Middle,Good,Rural,No,Syphilis
India,2002,0-14,Female,271,22.96,West,Upper-Middle,Moderate,Urban,No,Syphilis
Germany,2004,65+,Female,263,6.68,West,Upper-Middle,Moderate,Urban,No,Syphilis
India,2002,15-24,Female,506,33.25,West,Low,Poor,Rural,No,Syphilis
UK,2014,15-24,Female,785,10.78,North,Low,Good,Urban,Yes,Syphilis
South Africa,2018,15-24,Female,512,21.7,West,High,Moderate,Rural,No,Syphilis
USA,2001,45-54,Male,854,9.96,South,Lower-Middle,Good,Urban,No,Syphilis
France,2011,35-44,Male,726,27.47,North,Lower-Middle,Poor,Urban,Yes,Syphilis
Japan,2004,0-14,Male,886,5.89,North,Lower-Middle,Good,Urban,No,Syphilis
India,2021,35-44,Female,576,1.25,North,Lower-Middle,Good,Rural,Yes,Syphilis
Brazil,2016,35-44,Female,524,2.65,Central,Low,Good,Urban,No,Syphilis
Germany,2013,15-24,Male,722,47.72,East,Low,Moderate,Urban,No,Syphilis
India,2021,35-44,Male,312,7.2,Central,High,Moderate,Urban,No,Syphilis
Japan,2009,0-14,Male,174,35.45,Central,Lower-Middle,Poor,Urban,Yes,Syphilis
Germany,2002,0-14,Male,431,3.49,Central,Low,Good,Rural,Yes,Syphilis
France,2003,55-64,Male,768,5.5,East,Low,Poor,Urban,No,Syphilis
South Africa,2005,25-34,Female,463,25.49,Central,Low,Poor,Rural,No,Syphilis
Brazil,2023,45-54,Female,101,23.3,West,Low,Moderate,Rural,Yes,Syphilis
India,2021,35-44,Female,16,47.58,North,Lower-Middle,Good,Urban,Yes,Syphilis
Australia,2015,45-54,Male,709,47.25,North,Lower-Middle,Good,Urban,Yes,Syphilis
USA,2006,45-54,Female,258,39.0,South,Low,Poor,Rural,No,Syphilis
India,2014,45-54,Male,896,30.14,West,Upper-Middle,Good,Rural,Yes,Syphilis
India,2020,65+,Female,244,22.8,East,High,Moderate,Rural,Yes,Syphilis
Japan,2019,55-64,Male,348,17.87,North,Lower-Middle,Poor,Urban,Yes,Syphilis
Japan,2010,45-54,Male,249,47.36,Central,Lower-Middle,Poor,Urban,Yes,Syphilis
USA,2021,55-64,Female,105,30.19,South,Upper-Middle,Moderate,Rural,Yes,Syphilis
India,2020,0-14,Female,694,29.0,South,Lower-Middle,Moderate,Rural,Yes,Syphilis
Canada,2000,65+,Female,667,11.67,North,Upper-Middle,Moderate,Rural,Yes,Syphilis
France,2004,35-44,Female,287,2.43,West,Upper-Middle,Moderate,Urban,No,Syphilis
Japan,2012,55-64,Female,169,47.26,South,Low,Moderate,Urban,Yes,Syphilis
Japan,2020,25-34,Male,420,15.76,North,Lower-Middle,Moderate,Rural,No,Syphilis
Canada,2013,45-54,Female,47,22.19,West,High,Poor,Urban,No,Syphilis
Germany,2008,65+,Female,43,5.82,North,Upper-Middle,Good,Rural,Yes,Syphilis
India,2016,25-34,Male,321,41.86,North,High,Good,Urban,No,Syphilis
USA,2014,0-14,Female,818,1.48,West,Low,Poor,Rural,No,Syphilis
Japan,2020,0-14,Male,221,41.72,West,Lower-Middle,Good,Urban,Yes,Syphilis
USA,2006,15-24,Female,513,7.1,West,Low,Good,Urban,No,Syphilis
USA,2021,45-54,Female,712,44.34,North,Low,Poor,Urban,Yes,Syphilis
France,2021,15-24,Male,441,36.52,South,High,Good,Urban,Yes,Syphilis
Australia,2011,65+,Female,144,8.32,East,High,Good,Urban,Yes,Syphilis
Japan,2022,25-34,Female,890,28.33,East,Upper-Middle,Poor,Urban,Yes,Syphilis
Brazil,2005,35-44,Female,28,15.7,North,Lower-Middle,Good,Urban,Yes,Syphilis
Germany,2020,15-24,Female,854,8.99,North,Low,Moderate,Rural,Yes,Syphilis
USA,2015,0-14,Male,850,42.97,South,Upper-Middle,Poor,Rural,Yes,Syphilis
Japan,2004,45-54,Male,790,20.24,West,Upper-Middle,Good,Rural,No,Syphilis
Germany,2008,25-34,Female,553,19.99,North,Low,Good,Urban,Yes,Syphilis
Brazil,2013,55-64,Female,844,8.58,Central,Low,Moderate,Urban,No,Syphilis
Japan,2007,65+,Male,659,19.21,West,Upper-Middle,Poor,Urban,Yes,Syphilis
India,2013,65+,Male,857,43.59,North,Low,Poor,Rural,Yes,Syphilis
USA,2011,0-14,Female,690,18.22,Central,Low,Good,Rural,Yes,Syphilis
Brazil,2009,55-64,Male,827,47.59,South,High,Moderate,Rural,No,Syphilis
India,2019,65+,Male,837,47.32,Central,Lower-Middle,Moderate,Rural,No,Syphilis
USA,2019,35-44,Male,930,7.33,North,Upper-Middle,Moderate,Rural,No,Syphilis
UK,2020,45-54,Male,167,8.95,East,Low,Moderate,Rural,No,Syphilis
South Africa,2012,35-44,Female,635,43.15,North,Upper-Middle,Moderate,Urban,No,Syphilis
Canada,2018,65+,Male,586,19.7,East,Lower-Middle,Moderate,Rural,No,Syphilis
USA,2014,35-44,Female,751,0.32,South,Upper-Middle,Poor,Urban,Yes,Syphilis
Brazil,2007,65+,Female,249,13.77,South,Upper-Middle,Good,Rural,Yes,Syphilis
Brazil,2022,45-54,Male,775,29.92,West,Upper-Middle,Good,Rural,No,Syphilis
South Africa,2020,45-54,Female,764,39.98,West,High,Moderate,Urban,No,Syphilis
Japan,2009,55-64,Female,357,6.76,East,Lower-Middle,Poor,Urban,No,Syphilis
Canada,2002,35-44,Male,111,5.62,East,Lower-Middle,Poor,Urban,No,Syphilis
Germany,2020,25-34,Male,692,46.11,South,Upper-Middle,Moderate,Rural,No,Syphilis
USA,2002,55-64,Male,700,37.58,Central,Upper-Middle,Good,Rural,Yes,Syphilis
Japan,2004,45-54,Female,820,29.53,East,Lower-Middle,Moderate,Urban,Yes,Syphilis
India,2015,0-14,Female,719,38.48,East,Low,Poor,Rural,Yes,Syphilis
Germany,2016,65+,Female,234,21.5,Central,High,Moderate,Urban,Yes,Syphilis
Canada,2005,55-64,Female,24,37.95,West,Lower-Middle,Good,Rural,Yes,Syphilis
Japan,2019,15-24,Male,26,18.65,West,Upper-Middle,Good,Rural,Yes,Syphilis
Australia,2019,25-34,Female,381,12.28,East,Low,Poor,Rural,Yes,Syphilis
Germany,2015,65+,Male,730,36.48,West,Low,Moderate,Urban,Yes,Syphilis
France,2023,55-64,Male,346,21.04,West,Low,Moderate,Rural,No,Syphilis
France,2001,45-54,Male,378,49.07,West,High,Poor,Urban,No,Syphilis
USA,2019,45-54,Male,522,17.54,South,High,Moderate,Urban,Yes,Syphilis
USA,2014,25-34,Female,17,46.09,North,Lower-Middle,Poor,Urban,Yes,Syphilis
USA,2017,15-24,Male,245,46.65,East,Lower-Middle,Moderate,Urban,Yes,Syphilis
Canada,2000,55-64,Female,718,12.17,East,Lower-Middle,Good,Urban,No,Syphilis
Australia,2018,55-64,Male,770,39.93,South,Lower-Middle,Poor,Urban,No,Syphilis
Japan,2011,35-44,Male,624,21.71,North,Upper-Middle,Moderate,Urban,Yes,Syphilis
India,2007,0-14,Male,717,45.88,North,High,Moderate,Urban,No,Syphilis
UK,2005,45-54,Female,539,22.56,South,Low,Moderate,Urban,Yes,Syphilis
Brazil,2011,55-64,Male,969,37.24,Central,Upper-Middle,Poor,Rural,Yes,Syphilis
India,2006,55-64,Male,583,23.4,Central,Lower-Middle,Good,Urban,Yes,Syphilis
Japan,2017,65+,Male,688,11.47,North,Lower-Middle,Moderate,Rural,Yes,Syphilis
Australia,2021,65+,Male,202,10.05,Central,Upper-Middle,Poor,Urban,Yes,Syphilis
Canada,2013,55-64,Female,248,21.33,Central,Low,Moderate,Rural,No,Syphilis
Germany,2007,15-24,Female,118,37.8,Central,High,Good,Rural,Yes,Syphilis
India,2023,0-14,Male,9,30.29,North,High,Good,Rural,Yes,Syphilis
Germany,2019,55-64,Male,598,34.46,Central,Low,Good,Rural,Yes,Syphilis
UK,2021,25-34,Female,23,14.19,East,High,Poor,Rural,Yes,Syphilis
Japan,2013,45-54,Female,967,24.12,North,Lower-Middle,Moderate,Rural,No,Syphilis
Australia,2004,35-44,Female,240,2.32,South,Lower-Middle,Poor,Urban,Yes,Syphilis
